sample	contig	qlen	HumGut_name	ref	sstart	send	host_genus	host_species
B1_6_months	k141_11970	16044	HumGut_21987	kraken:taxid|3021987|HumGut_21987_1	940376	924347	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_26332	kraken:taxid|3026332|HumGut_26332_1	1986183	2002204	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_27037	kraken:taxid|3027037|HumGut_27037_1	719746	735776	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29194	kraken:taxid|3029194|HumGut_29194_1	975476	959452	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29370	kraken:taxid|3029370|HumGut_29370_1	658346	674386	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29556	kraken:taxid|3029556|HumGut_29556_1	210994	227042	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29596	kraken:taxid|3029596|HumGut_29596_1	197701	213733	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29647	kraken:taxid|3029647|HumGut_29647_1	1561914	1545882	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29708	kraken:taxid|3029708|HumGut_29708_1	984024	968000	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29794	kraken:taxid|3029794|HumGut_29794_1	875879	891912	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29823	kraken:taxid|3029823|HumGut_29823_1	633653	617610	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29868	kraken:taxid|3029868|HumGut_29868_1	552452	536441	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29895	kraken:taxid|3029895|HumGut_29895_1	288953	272941	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29910	kraken:taxid|3029910|HumGut_29910_1	1774630	1790651	Campylobacter	Campylobacter mucosalis
B1_6_months	k141_11970	16044	HumGut_29911	kraken:taxid|3029911|HumGut_29911_1	1726082	1710047	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29947	kraken:taxid|3029947|HumGut_29947_1	1576295	1592316	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29951	kraken:taxid|3029951|HumGut_29951_1	635595	619548	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_29964	kraken:taxid|3029964|HumGut_29964_1	680749	664714	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30009	kraken:taxid|3030009|HumGut_30009_1	186399	170362	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30073	kraken:taxid|3030073|HumGut_30073_1	1338048	1322024	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30104	kraken:taxid|3030104|HumGut_30104_1	1686947	1670931	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30107	kraken:taxid|3030107|HumGut_30107_1	236073	220047	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30125	kraken:taxid|3030125|HumGut_30125_1	824135	840159	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30127	kraken:taxid|3030127|HumGut_30127_1	1075160	1059127	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30143	kraken:taxid|3030143|HumGut_30143_1	719249	735286	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30178	kraken:taxid|3030178|HumGut_30178_1	227411	243422	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30181	kraken:taxid|3030181|HumGut_30181_1	265429	281465	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30208	kraken:taxid|3030208|HumGut_30208_1	1317033	1300997	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30217	kraken:taxid|3030217|HumGut_30217_1	232474	248510	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30228	kraken:taxid|3030228|HumGut_30228_1	1183001	1199040	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30235	kraken:taxid|3030235|HumGut_30235_1	1357025	1373073	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30241	kraken:taxid|3030241|HumGut_30241_1	1834462	1850486	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30243	kraken:taxid|3030243|HumGut_30243_1	283658	299683	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30249	kraken:taxid|3030249|HumGut_30249_1	420645	436682	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30258	kraken:taxid|3030258|HumGut_30258_1	578057	562048	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30274	kraken:taxid|3030274|HumGut_30274_1	743968	759993	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30278	kraken:taxid|3030278|HumGut_30278_1	491286	475262	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30291	kraken:taxid|3030291|HumGut_30291_1	812685	796655	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30298	kraken:taxid|3030298|HumGut_30298_1	1032866	1048908	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30311	kraken:taxid|3030311|HumGut_30311_1	940918	924893	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30318	kraken:taxid|3030318|HumGut_30318_1	1438429	1454469	Campylobacter	Campylobacter concisus
