sample	contig	qlen	ref	sstart	send	host_genus	host_species
B1_6_months	k141_11987_phage171_86355_120697_42_0.74	34343	B39_6_months__137838_Clostridium_neonatale__k141_41327	90110	124452	Clostridium	Clostridium neonatale
B1_6_months	k141_11987_phage171_86355_120697_42_0.74	34343	B39_1_month__137838_Clostridium_neonatale__k141_35783	60058	25716	Clostridium	Clostridium neonatale
B1_6_months	k141_11987_phage171_86355_120697_42_0.74	34343	B1_6_months__137838_Clostridium_neonatale__k141_11987	86356	120698	Clostridium	Clostridium neonatale
B1_6_months	k141_13615	38994	B1_6_months__1128111_Veillonella_atypica__k141_13615	1	38994	Veillonella	Veillonella atypica
B1_6_months	k141_13615	38994	B39_1_month__1128111_Veillonella_atypica__k141_43493	1	35663	Veillonella	Veillonella atypica
B1_6_months	k141_14552_phage68_4456_17370_14_0.54	12915	B39_6_months__137838_Clostridium_neonatale__k141_20566	4457	17371	Clostridium	Clostridium neonatale
B1_6_months	k141_14552_phage68_4456_17370_14_0.54	12915	B1_6_months__137838_Clostridium_neonatale__k141_14552	4457	17371	Clostridium	Clostridium neonatale
B1_6_months	k141_14552_phage68_4456_17370_14_0.54	12915	B39_1_month__137838_Clostridium_neonatale__k141_30876	12677	830	Clostridium	Clostridium neonatale
B1_6_months	k141_14552_phage68_4456_17370_14_0.54	12915	B19_6_months__137838_Clostridium_neonatale__k141_25630	14866	26716	Clostridium	Clostridium neonatale
B1_6_months	k141_14552_phage68_4456_17370_14_0.54	12915	B10_6_months__137838_Clostridium_neonatale__k141_25441	12007	382	Clostridium	Clostridium neonatale
B1_6_months	k141_1580	10846	B33_12_months__43675_Rothia_mucilaginosa__k141_56756	2163	12970	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	B11_12_months__43675_Rothia_mucilaginosa__k141_64316	2160	12967	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	B31_12_months__43675_Rothia_mucilaginosa__k141_115943	30999	20201	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	B19_12_months__43675_Rothia_mucilaginosa__k141_22831	37238	26436	Rothia	Rothia mucilaginosa
B1_6_months	k141_15974	15974	B36_6_months__1660_Schaalia_odontolytica__k141_10567	52083	36088	Schaalia	Schaalia odontolytica
B1_6_months	k141_15974	15974	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_15974	1	15974	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_15974	15974	B17_6_months__249061_uncultured_Actinomyces_sp.__k141_13063	152756	136761	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_15974	15974	B27_12_months__249061_uncultured_Actinomyces_sp.__k141_31786	1	15319	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_15974	15974	B6_12_months__249061_uncultured_Actinomyces_sp.__k141_18908	2	15856	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_15974	15974	B22_12_months__249061_uncultured_Actinomyces_sp.__k141_14668	1	15792	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_17860_phage197_58439_81251_35_0.77	22813	B39_6_months__137838_Clostridium_neonatale__k141_18020	29922	52734	Clostridium	Clostridium neonatale
B1_6_months	k141_17860_phage197_58439_81251_35_0.77	22813	B39_1_month__137838_Clostridium_neonatale__k141_20032	58770	81582	Clostridium	Clostridium neonatale
B1_6_months	k141_17860_phage197_58439_81251_35_0.77	22813	B10_6_months__137838_Clostridium_neonatale__k141_17347	42573	65385	Clostridium	Clostridium neonatale
B1_6_months	k141_17860_phage197_58439_81251_35_0.77	22813	B1_6_months__137838_Clostridium_neonatale__k141_17860	58440	81252	Clostridium	Clostridium neonatale
B1_6_months	k141_17860_phage197_58439_81251_35_0.77	22813	B19_6_months__137838_Clostridium_neonatale__k141_9968	29760	52572	Clostridium	Clostridium neonatale
B1_6_months	k141_17860_phage197_58439_81251_35_0.77	22813	B13_12_months__137838_Clostridium_neonatale__k141_130985	25127	4418	Clostridium	Clostridium neonatale
