sample	contig	qlen	ref	sstart	send	host_genus	host_species
B1_6_months	k141_11987_phage171_86355_120697_42_0.74	34343	B1_6_months__137838_Clostridium_neonatale__k141_11987	86356	120698	Clostridium	Clostridium neonatale
B1_6_months	k141_13615	38994	B1_6_months__1128111_Veillonella_atypica__k141_13615	1	38994	Veillonella	Veillonella atypica
B1_6_months	k141_14552_phage68_4456_17370_14_0.54	12915	B1_6_months__137838_Clostridium_neonatale__k141_14552	4457	17371	Clostridium	Clostridium neonatale
B1_6_months	k141_15974	15974	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_15974	1	15974	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_17860_phage197_58439_81251_35_0.77	22813	B1_6_months__137838_Clostridium_neonatale__k141_17860	58440	81252	Clostridium	Clostridium neonatale
B1_6_months	k141_19027_phage276_23624_51078_32_0.62	27455	B1_6_months__137838_Clostridium_neonatale__k141_19027	23625	51079	Clostridium	Clostridium neonatale
B1_6_months	k141_19721	10603	B1_6_months__137838_Clostridium_neonatale__k141_19721	1	10603	Clostridium	Clostridium neonatale
B1_6_months	k141_19998	12797	B1_6_months__39777_Veillonella_atypica__k141_19998	1	12797	Veillonella	Veillonella atypica
B1_6_months	k141_21719_phage230_2_10051_16_0.86	10049	B1_6_months__137838_Clostridium_neonatale__k141_21719	3	10051	Clostridium	Clostridium neonatale
B1_6_months	k141_23339	17874	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_23339	1	17874	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_23448	31262	B1_6_months__137838_Clostridium_neonatale__k141_23448	1	31262	Clostridium	Clostridium neonatale
B1_6_months	k141_23667_1_checkv_155211-200248/225330	45038	B1_6_months__1311_Streptococcus_agalactiae__k141_23667	155211	200248	Streptococcus	Streptococcus agalactiae
B1_6_months	k141_24128	19798	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_24128	1	19798	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_2516_phage272_201023_221544_32_0.75	20522	B1_6_months__1311_Streptococcus_agalactiae__k141_2516	201024	221545	Streptococcus	Streptococcus agalactiae
B1_6_months	k141_28566_phage130_3003_21785_23_0.56	18783	B1_6_months__1311_Streptococcus_agalactiae__k141_28566	3004	21786	Streptococcus	Streptococcus agalactiae
B1_6_months	k141_30228	20863	B1_6_months__729_Haemophilus_parainfluenzae__k141_30228	1	20863	Haemophilus	Haemophilus parainfluenzae
